Gene,Population 1,Population 2,Normalized lineage score,Significant guides,Total guides,,,,,,,,,,,,,,,,,,,,
Phf10,GMP,LSKd7,0.959905346,0,6,,,,,,,,,,,,,,,,,,,,
Brd7,GMP,LSKd7,0.929029413,0,6,,,,,,,,,,,,,,,,,,,,
Nupr1,GMP,LSKd7,0.832073992,0,6,,,,,,,,,,,,,,,,,,,,
Tbl1x,GMP,LSKd7,0.776452079,0,6,,,,,,,,,,,,,,,,,,,,
Nup50,GMP,LSKd7,0.761034705,0,6,,,,,,,,,,,,,,,,,,,,
Kmt2c,GMP,LSKd7,0.760301106,0,6,,,,,,,,,,,,,,,,,,,,
Smarcal1,GMP,LSKd7,0.732965384,0,6,,,,,,,,,,,,,,,,,,,,
Kdm5b,GMP,LSKd7,0.669218756,0,6,,,,,,,,,,,,,,,,,,,,
Kmt2b,GMP,LSKd7,0.665576584,0,6,,,,,,,,,,,,,,,,,,,,
Gltscr1,GMP,LSKd7,0.584937981,0,6,,,,,,,,,,,,,,,,,,,,
Smarcc2,GMP,LSKd7,0.545308097,0,6,,,,,,,,,,,,,,,,,,,,
Mbd3,GMP,LSKd7,0.42496328,0,6,,,,,,,,,,,,,,,,,,,,
Bcl7b,GMP,LSKd7,0.409982821,0,6,,,,,,,,,,,,,,,,,,,,
Hdac3,GMP,LSKd7,0.320120123,0,6,,,,,,,,,,,,,,,,,,,,
Ncor1,GMP,LSKd7,0.158987267,0,6,,,,,,,,,,,,,,,,,,,,
Bptf,GMP,LSKd7,0.145234787,0,6,,,,,,,,,,,,,,,,,,,,
Kdm1a,GMP,LSKd7,-0.021294252,0,6,,,,,,,,,,,,,,,,,,,,
Prmt10,GMP,LSKd7,-0.038792657,0,6,,,,,,,,,,,,,,,,,,,,
Maml3,GMP,LSKd7,-0.100159557,0,6,,,,,,,,,,,,,,,,,,,,
Smarcd1,GMP,LSKd7,-0.116399228,0,6,,,,,,,,,,,,,,,,,,,,
Trp53,GMP,LSKd7,-0.185882675,0,6,,,,,,,,,,,,,,,,,,,,
Setd1a,GMP,LSKd7,-0.304784693,0,6,,,,,,,,,,,,,,,,,,,,
Brd9,GMP,LSKd7,-0.920677895,0,6,,,,,,,,,,,,,,,,,,,,
Chd4,GMP,LSKd7,-1.488289351,0,6,,,,,,,,,,,,,,,,,,,,
Ash1l,GMP,LSKd7,4.829180278,4,4,,,,,,,,,,,,,,,,,,,,
Setdb1,GMP,LSKd7,3.964142956,3,4,,,,,,,,,,,,,,,,,,,,
Ehmt2,GMP,LSKd7,-3.117635358,3,4,,,,,,,,,,,,,,,,,,,,
Stag2,GMP,LSKd7,-4.350388054,3,4,,,,,,,,,,,,,,,,,,,,
Dnmt1,GMP,LSKd7,2.839404433,2,4,,,,,,,,,,,,,,,,,,,,
Uhrf1,GMP,LSKd7,2.833402012,2,4,,,,,,,,,,,,,,,,,,,,
Phc3,GMP,LSKd7,1.488210156,2,4,,,,,,,,,,,,,,,,,,,,
Chmp2a,GMP,LSKd7,1.437026024,2,4,,,,,,,,,,,,,,,,,,,,
Ehmt1,GMP,LSKd7,-2.222222664,2,4,,,,,,,,,,,,,,,,,,,,
Smc3,GMP,LSKd7,-2.237590976,2,4,,,,,,,,,,,,,,,,,,,,
Cbx3,GMP,LSKd7,2.306298431,1,4,,,,,,,,,,,,,,,,,,,,
Mtf2,GMP,LSKd7,2.203226631,1,4,,,,,,,,,,,,,,,,,,,,
Smc2,GMP,LSKd7,1.990931877,1,4,,,,,,,,,,,,,,,,,,,,
Cbx5,GMP,LSKd7,1.479744355,1,4,,,,,,,,,,,,,,,,,,,,
Prmt5,GMP,LSKd7,1.382756084,1,4,,,,,,,,,,,,,,,,,,,,
Cbx7,GMP,LSKd7,1.374269377,1,4,,,,,,,,,,,,,,,,,,,,
Asf1a,GMP,LSKd7,1.160034176,1,4,,,,,,,,,,,,,,,,,,,,
Chaf1a,GMP,LSKd7,0.565977841,1,4,,,,,,,,,,,,,,,,,,,,
Hdac7,GMP,LSKd7,0.417280894,1,4,,,,,,,,,,,,,,,,,,,,
Kdm7a,GMP,LSKd7,0.340829897,1,4,,,,,,,,,,,,,,,,,,,,
Smyd2,GMP,LSKd7,0.222959657,1,4,,,,,,,,,,,,,,,,,,,,
Ncapd2,GMP,LSKd7,0.221136171,1,4,,,,,,,,,,,,,,,,,,,,
Phf5a,GMP,LSKd7,0.152338998,1,4,,,,,,,,,,,,,,,,,,,,
Smyd3,GMP,LSKd7,-0.005621899,1,4,,,,,,,,,,,,,,,,,,,,
Wbscr27,GMP,LSKd7,-0.439082133,1,4,,,,,,,,,,,,,,,,,,,,
Hmg20a,GMP,LSKd7,-0.732779336,1,4,,,,,,,,,,,,,,,,,,,,
Mettl7a1,GMP,LSKd7,-1.011489885,1,4,,,,,,,,,,,,,,,,,,,,
Kat2a,GMP,LSKd7,-1.457643819,1,4,,,,,,,,,,,,,,,,,,,,
Asf1b,GMP,LSKd7,-1.666995295,1,4,,,,,,,,,,,,,,,,,,,,
Gatad2b,GMP,LSKd7,1.306766347,0,4,,,,,,,,,,,,,,,,,,,,
Baz1b,GMP,LSKd7,1.132063664,0,4,,,,,,,,,,,,,,,,,,,,
Mllt6,GMP,LSKd7,1.071101278,0,4,,,,,,,,,,,,,,,,,,,,
Prmt7,GMP,LSKd7,0.98960574,0,4,,,,,,,,,,,,,,,,,,,,
Snd1,GMP,LSKd7,0.979355614,0,4,,,,,,,,,,,,,,,,,,,,
Carm1,GMP,LSKd7,0.966566421,0,4,,,,,,,,,,,,,,,,,,,,
Trim28,GMP,LSKd7,0.957106789,0,4,,,,,,,,,,,,,,,,,,,,
Hdac9,GMP,LSKd7,0.884003308,0,4,,,,,,,,,,,,,,,,,,,,
Sp100,GMP,LSKd7,0.845573781,0,4,,,,,,,,,,,,,,,,,,,,
Sap30,GMP,LSKd7,0.780386315,0,4,,,,,,,,,,,,,,,,,,,,
Mbd5,GMP,LSKd7,0.750731216,0,4,,,,,,,,,,,,,,,,,,,,
Dnmt3a,GMP,LSKd7,0.606383946,0,4,,,,,,,,,,,,,,,,,,,,
