Gene,Population 1,Population 2,Normalized lineage score,Significant guides,Total guides,,,,,,,,,,,,,,,,,,,,
Rad51,GMP,MEP,1.848899654,2,3,,,,,,,,,,,,,,,,,,,,
Mau2,GMP,MEP,-2.919627242,2,3,,,,,,,,,,,,,,,,,,,,
Med1,GMP,MEP,-3.182599395,2,3,,,,,,,,,,,,,,,,,,,,
Med25,GMP,MEP,-3.184605763,2,3,,,,,,,,,,,,,,,,,,,,
Rybp,GMP,MEP,-3.873303324,2,3,,,,,,,,,,,,,,,,,,,,
L3mbtl3,GMP,MEP,-5.072161252,2,3,,,,,,,,,,,,,,,,,,,,
Dmap1,GMP,MEP,3.532701989,1,3,,,,,,,,,,,,,,,,,,,,
Uba2,GMP,MEP,3.319807457,1,3,,,,,,,,,,,,,,,,,,,,
Phf12,GMP,MEP,3.005701961,1,3,,,,,,,,,,,,,,,,,,,,
Trrap,GMP,MEP,2.998336409,1,3,,,,,,,,,,,,,,,,,,,,
Znhit1,GMP,MEP,2.920106394,1,3,,,,,,,,,,,,,,,,,,,,
Srsf1,GMP,MEP,2.765786761,1,3,,,,,,,,,,,,,,,,,,,,
Pias1,GMP,MEP,2.671208515,1,3,,,,,,,,,,,,,,,,,,,,
Sf3b3,GMP,MEP,2.606494748,1,3,,,,,,,,,,,,,,,,,,,,
Sin3b,GMP,MEP,2.505213817,1,3,,,,,,,,,,,,,,,,,,,,
Smc5,GMP,MEP,2.500347201,1,3,,,,,,,,,,,,,,,,,,,,
Exosc2,GMP,MEP,2.493088268,1,3,,,,,,,,,,,,,,,,,,,,
Ahctf1,GMP,MEP,2.485878983,1,3,,,,,,,,,,,,,,,,,,,,
Kat5,GMP,MEP,2.462371719,1,3,,,,,,,,,,,,,,,,,,,,
Chd8,GMP,MEP,2.362062405,1,3,,,,,,,,,,,,,,,,,,,,
Mettl16,GMP,MEP,2.359323749,1,3,,,,,,,,,,,,,,,,,,,,
Srcap,GMP,MEP,2.271368906,1,3,,,,,,,,,,,,,,,,,,,,
Smc6,GMP,MEP,2.271322018,1,3,,,,,,,,,,,,,,,,,,,,
Aurka,GMP,MEP,2.131510898,1,3,,,,,,,,,,,,,,,,,,,,
Hira,GMP,MEP,2.116718053,1,3,,,,,,,,,,,,,,,,,,,,
Tex10,GMP,MEP,2.044624168,1,3,,,,,,,,,,,,,,,,,,,,
Mta1,GMP,MEP,2.014182036,1,3,,,,,,,,,,,,,,,,,,,,
Hdac8,GMP,MEP,1.961145764,1,3,,,,,,,,,,,,,,,,,,,,
Ruvbl2,GMP,MEP,1.936223695,1,3,,,,,,,,,,,,,,,,,,,,
Sf3b1,GMP,MEP,1.769468509,1,3,,,,,,,,,,,,,,,,,,,,
Mllt1,GMP,MEP,1.75754649,1,3,,,,,,,,,,,,,,,,,,,,
Nabp1,GMP,MEP,1.731888934,1,3,,,,,,,,,,,,,,,,,,,,
Ruvbl1,GMP,MEP,1.730718926,1,3,,,,,,,,,,,,,,,,,,,,
Eif4a3,GMP,MEP,1.691663614,1,3,,,,,,,,,,,,,,,,,,,,
Mbd1,GMP,MEP,1.643179826,1,3,,,,,,,,,,,,,,,,,,,,
Mllt3,GMP,MEP,1.640908886,1,3,,,,,,,,,,,,,,,,,,,,
Rcor3,GMP,MEP,1.564354131,1,3,,,,,,,,,,,,,,,,,,,,
Phf20l1,GMP,MEP,1.49731748,1,3,,,,,,,,,,,,,,,,,,,,
Gltscr2,GMP,MEP,1.460952532,1,3,,,,,,,,,,,,,,,,,,,,
Rcor2,GMP,MEP,1.395040463,1,3,,,,,,,,,,,,,,,,,,,,
Las1l,GMP,MEP,1.394195127,1,3,,,,,,,,,,,,,,,,,,,,
Kat6b,GMP,MEP,1.388300898,1,3,,,,,,,,,,,,,,,,,,,,
Tonsl,GMP,MEP,1.309672687,1,3,,,,,,,,,,,,,,,,,,,,
Top2a,GMP,MEP,1.28308845,1,3,,,,,,,,,,,,,,,,,,,,
Pcgf2,GMP,MEP,1.245614897,1,3,,,,,,,,,,,,,,,,,,,,
Noc2l,GMP,MEP,1.197109899,1,3,,,,,,,,,,,,,,,,,,,,
Rad21,GMP,MEP,1.141302624,1,3,,,,,,,,,,,,,,,,,,,,
Ep400,GMP,MEP,1.069073277,1,3,,,,,,,,,,,,,,,,,,,,
Hmgb1,GMP,MEP,1.0667751,1,3,,,,,,,,,,,,,,,,,,,,
Atm,GMP,MEP,0.981270195,1,3,,,,,,,,,,,,,,,,,,,,
Mbtps2,GMP,MEP,0.884464614,1,3,,,,,,,,,,,,,,,,,,,,
Kat7,GMP,MEP,0.831791964,1,3,,,,,,,,,,,,,,,,,,,,
Npm1,GMP,MEP,0.632617785,1,3,,,,,,,,,,,,,,,,,,,,
Phf2,GMP,MEP,0.631881328,1,3,,,,,,,,,,,,,,,,,,,,
Ythdf1,GMP,MEP,0.529736393,1,3,,,,,,,,,,,,,,,,,,,,
Pmf1,GMP,MEP,0.430263992,1,3,,,,,,,,,,,,,,,,,,,,
Med19,GMP,MEP,0.394978967,1,3,,,,,,,,,,,,,,,,,,,,
Gtf3a,GMP,MEP,-0.132822168,1,3,,,,,,,,,,,,,,,,,,,,
Sin3a,GMP,MEP,-0.544074286,1,3,,,,,,,,,,,,,,,,,,,,
Med9,GMP,MEP,-0.732999047,1,3,,,,,,,,,,,,,,,,,,,,
Med4,GMP,MEP,-0.856823181,1,3,,,,,,,,,,,,,,,,,,,,
Med29,GMP,MEP,-0.995174739,1,3,,,,,,,,,,,,,,,,,,,,
Med6,GMP,MEP,-1.026567631,1,3,,,,,,,,,,,,,,,,,,,,
Phb2,GMP,MEP,-1.114005005,1,3,,,,,,,,,,,,,,,,,,,,
Nipbl,GMP,MEP,-1.195158222,1,3,,,,,,,,,,,,,,,,,,,,
Med7,GMP,MEP,-1.254372031,1,3,,,,,,,,,,,,,,,,,,,,
Sp140,GMP,MEP,-1.483934356,1,3,,,,,,,,,,,,,,,,,,,,
Nudt21,GMP,MEP,-1.531453786,1,3,,,,,,,,,,,,,,,,,,,,
Ythdc1,GMP,MEP,-1.592807703,1,3,,,,,,,,,,,,,,,,,,,,
Kdm3b,GMP,MEP,-1.700053041,1,3,,,,,,,,,,,,,,,,,,,,
Mga,GMP,MEP,-1.772456152,1,3,,,,,,,,,,,,,,,,,,,,
Med18,GMP,MEP,-1.813791571,1,3,,,,,,,,,,,,,,,,,,,,
Naca,GMP,MEP,-1.821641768,1,3,,,,,,,,,,,,,,,,,,,,
Syncrip,GMP,MEP,-2.098438267,1,3,,,,,,,,,,,,,,,,,,,,
Nfrkb,GMP,MEP,-2.228523894,1,3,,,,,,,,,,,,,,,,,,,,
Arid4a,GMP,MEP,-2.298648109,1,3,,,,,,,,,,,,,,,,,,,,
Ldb1,GMP,MEP,-2.356402326,1,3,,,,,,,,,,,,,,,,,,,,
Set,GMP,MEP,-2.584169252,1,3,,,,,,,,,,,,,,,,,,,,
Ncaph2,GMP,MEP,-2.835574014,1,3,,,,,,,,,,,,,,,,,,,,
Brd4,GMP,MEP,-5.126526715,1,3,,,,,,,,,,,,,,,,,,,,
Setd5,GMP,MEP,2.670686274,0,3,,,,,,,,,,,,,,,,,,,,
Wapal,GMP,MEP,2.613872443,0,3,,,,,,,,,,,,,,,,,,,,
Zmym2,GMP,MEP,2.315013439,0,3,,,,,,,,,,,,,,,,,,,,
Ing5,GMP,MEP,2.238703684,0,3,,,,,,,,,,,,,,,,,,,,
Sap18,GMP,MEP,2.187379884,0,3,,,,,,,,,,,,,,,,,,,,
Mecom,GMP,MEP,2.132895412,0,3,,,,,,,,,,,,,,,,,,,,
Ube2d3,GMP,MEP,2.119477422,0,3,,,,,,,,,,,,,,,,,,,,
Cit,GMP,MEP,2.071249889,0,3,,,,,,,,,,,,,,,,,,,,
Lbr,GMP,MEP,2.065124805,0,3,,,,,,,,,,,,,,,,,,,,
Mybbp1a,GMP,MEP,2.044147776,0,3,,,,,,,,,,,,,,,,,,,,
Gatad2a,GMP,MEP,2.037813249,0,3,,,,,,,,,,,,,,,,,,,,
Senp1,GMP,MEP,1.929642477,0,3,,,,,,,,,,,,,,,,,,,,
Atr,GMP,MEP,1.928609234,0,3,,,,,,,,,,,,,,,,,,,,
Ddb1,GMP,MEP,1.812520087,0,3,,,,,,,,,,,,,,,,,,,,
Smyd4,GMP,MEP,1.812179249,0,3,,,,,,,,,,,,,,,,,,,,
Ing3,GMP,MEP,1.798407056,0,3,,,,,,,,,,,,,,,,,,,,
Atrx,GMP,MEP,1.797936881,0,3,,,,,,,,,,,,,,,,,,,,
Mbd6,GMP,MEP,1.685472314,0,3,,,,,,,,,,,,,,,,,,,,
Rnf8,GMP,MEP,1.650977398,0,3,,,,,,,,,,,,,,,,,,,,
Chrac1,GMP,MEP,1.643810043,0,3,,,,,,,,,,,,,,,,,,,,
Eid2,GMP,MEP,1.538874354,0,3,,,,,,,,,,,,,,,,,,,,
Psip1,GMP,MEP,1.534950002,0,3,,,,,,,,,,,,,,,,,,,,
Dhx36,GMP,MEP,1.53198621,0,3,,,,,,,,,,,,,,,,,,,,
Rrp8,GMP,MEP,1.512445688,0,3,,,,,,,,,,,,,,,,,,,,
Ddx21,GMP,MEP,1.49048846,0,3,,,,,,,,,,,,,,,,,,,,
Mbd4,GMP,MEP,1.482848586,0,3,,,,,,,,,,,,,,,,,,,,
Ube2b,GMP,MEP,1.447613832,0,3,,,,,,,,,,,,,,,,,,,,
Cdk5,GMP,MEP,1.425986096,0,3,,,,,,,,,,,,,,,,,,,,
Jade2,GMP,MEP,1.398670983,0,3,,,,,,,,,,,,,,,,,,,,
Bub1,GMP,MEP,1.355240911,0,3,,,,,,,,,,,,,,,,,,,,
Sap30bp,GMP,MEP,1.348622466,0,3,,,,,,,,,,,,,,,,,,,,
Med21,GMP,MEP,1.321888461,0,3,,,,,,,,,,,,,,,,,,,,
Brd3,GMP,MEP,1.309233284,0,3,,,,,,,,,,,,,,,,,,,,
Prdm10,GMP,MEP,1.285258996,0,3,,,,,,,,,,,,,,,,,,,,
Suv420h2,GMP,MEP,1.275026,0,3,,,,,,,,,,,,,,,,,,,,
Pkm,GMP,MEP,1.262295564,0,3,,,,,,,,,,,,,,,,,,,,
Kdm4a,GMP,MEP,1.247594175,0,3,,,,,,,,,,,,,,,,,,,,
Cdk1,GMP,MEP,1.205397437,0,3,,,,,,,,,,,,,,,,,,,,
Brdt,GMP,MEP,1.204790991,0,3,,,,,,,,,,,,,,,,,,,,
Phf3,GMP,MEP,1.191990016,0,3,,,,,,,,,,,,,,,,,,,,
Kansl1,GMP,MEP,1.17169489,0,3,,,,,,,,,,,,,,,,,,,,
Phf8,GMP,MEP,1.154657804,0,3,,,,,,,,,,,,,,,,,,,,
Scml4,GMP,MEP,1.140824584,0,3,,,,,,,,,,,,,,,,,,,,
Hmgn5,GMP,MEP,1.126494434,0,3,,,,,,,,,,,,,,,,,,,,
Tada2b,GMP,MEP,1.118978698,0,3,,,,,,,,,,,,,,,,,,,,
Phip,GMP,MEP,1.100381263,0,3,,,,,,,,,,,,,,,,,,,,
Ppie,GMP,MEP,1.085997447,0,3,,,,,,,,,,,,,,,,,,,,
Fbxw9,GMP,MEP,1.010792014,0,3,,,,,,,,,,,,,,,,,,,,
Mllt10,GMP,MEP,1.004376015,0,3,,,,,,,,,,,,,,,,,,,,
Gtf2h4,GMP,MEP,0.989875124,0,3,,,,,,,,,,,,,,,,,,,,
Pcgf5,GMP,MEP,0.953239896,0,3,,,,,,,,,,,,,,,,,,,,
Pcgf6,GMP,MEP,0.95206217,0,3,,,,,,,,,,,,,,,,,,,,
Cxxc5,GMP,MEP,0.945506575,0,3,,,,,,,,,,,,,,,,,,,,
Mettl23,GMP,MEP,0.936507839,0,3,,,,,,,,,,,,,,,,,,,,
Ino80d,GMP,MEP,0.934903035,0,3,,,,,,,,,,,,,,,,,,,,
Max,GMP,MEP,0.873697193,0,3,,,,,,,,,,,,,,,,,,,,
Eya4,GMP,MEP,0.857592763,0,3,,,,,,,,,,,,,,,,,,,,
Dnttip2,GMP,MEP,0.853889332,0,3,,,,,,,,,,,,,,,,,,,,
Phf23,GMP,MEP,0.850521954,0,3,,,,,,,,,,,,,,,,,,,,
Zzz3,GMP,MEP,0.848114485,0,3,,,,,,,,,,,,,,,,,,,,
Setd2,GMP,MEP,0.847774418,0,3,,,,,,,,,,,,,,,,,,,,
Ddx31,GMP,MEP,0.846883584,0,3,,,,,,,,,,,,,,,,,,,,
Hdac11,GMP,MEP,0.845271022,0,3,,,,,,,,,,,,,,,,,,,,
Kdm2a,GMP,MEP,0.844429389,0,3,,,,,,,,,,,,,,,,,,,,
Bmi1,GMP,MEP,0.844370044,0,3,,,,,,,,,,,,,,,,,,,,
Dr1,GMP,MEP,0.835408379,0,3,,,,,,,,,,,,,,,,,,,,
Scmh1,GMP,MEP,0.815667077,0,3,,,,,,,,,,,,,,,,,,,,
Brcc3,GMP,MEP,0.814113534,0,3,,,,,,,,,,,,,,,,,,,,
Ccdc101,GMP,MEP,0.813566111,0,3,,,,,,,,,,,,,,,,,,,,
Kansl2,GMP,MEP,0.803811813,0,3,,,,,,,,,,,,,,,,,,,,
Chd1l,GMP,MEP,0.798089783,0,3,,,,,,,,,,,,,,,,,,,,
Prdm15,GMP,MEP,0.788669191,0,3,,,,,,,,,,,,,,,,,,,,
Kdm2b,GMP,MEP,0.786724513,0,3,,,,,,,,,,,,,,,,,,,,
Clock,GMP,MEP,0.776001834,0,3,,,,,,,,,,,,,,,,,,,,
Ctbp1,GMP,MEP,0.764652452,0,3,,,,,,,,,,,,,,,,,,,,
Zbtb33,GMP,MEP,0.757730148,0,3,,,,,,,,,,,,,,,,,,,,
Baz2b,GMP,MEP,0.746679429,0,3,,,,,,,,,,,,,,,,,,,,
Esco2,GMP,MEP,0.745649595,0,3,,,,,,,,,,,,,,,,,,,,
Stag1,GMP,MEP,0.73711353,0,3,,,,,,,,,,,,,,,,,,,,
Gtf2h3,GMP,MEP,0.734423866,0,3,,,,,,,,,,,,,,,,,,,,
H3f3a,GMP,MEP,0.733021613,0,3,,,,,,,,,,,,,,,,,,,,
Hirip3,GMP,MEP,0.731081593,0,3,,,,,,,,,,,,,,,,,,,,
Pds5b,GMP,MEP,0.729374261,0,3,,,,,,,,,,,,,,,,,,,,
Prdm9,GMP,MEP,0.72690555,0,3,,,,,,,,,,,,,,,,,,,,
Cdk17,GMP,MEP,0.722023196,0,3,,,,,,,,,,,,,,,,,,,,
Pias4,GMP,MEP,0.7173423,0,3,,,,,,,,,,,,,,,,,,,,
Prdm5,GMP,MEP,0.716657234,0,3,,,,,,,,,,,,,,,,,,,,
Hmg20b,GMP,MEP,0.715174489,0,3,,,,,,,,,,,,,,,,,,,,
Rnf168,GMP,MEP,0.709946091,0,3,,,,,,,,,,,,,,,,,,,,
Ddb2,GMP,MEP,0.709426797,0,3,,,,,,,,,,,,,,,,,,,,
Med11,GMP,MEP,0.702716844,0,3,,,,,,,,,,,,,,,,,,,,
Mettl17,GMP,MEP,0.700873301,0,3,,,,,,,,,,,,,,,,,,,,
Suz12,GMP,MEP,0.689883607,0,3,,,,,,,,,,,,,,,,,,,,
Mdm2,GMP,MEP,0.689136629,0,3,,,,,,,,,,,,,,,,,,,,
Pias3,GMP,MEP,0.635569576,0,3,,,,,,,,,,,,,,,,,,,,
Pias2,GMP,MEP,0.634166684,0,3,,,,,,,,,,,,,,,,,,,,
Phc2,GMP,MEP,0.633920828,0,3,,,,,,,,,,,,,,,,,,,,
Rbbp8,GMP,MEP,0.630468726,0,3,,,,,,,,,,,,,,,,,,,,
Chmp2b,GMP,MEP,0.613780688,0,3,,,,,,,,,,,,,,,,,,,,
Mettl22,GMP,MEP,0.595916452,0,3,,,,,,,,,,,,,,,,,,,,
Usp16,GMP,MEP,0.578479105,0,3,,,,,,,,,,,,,,,,,,,,
Dhx8,GMP,MEP,0.577620395,0,3,,,,,,,,,,,,,,,,,,,,
Hmgxb4,GMP,MEP,0.573027886,0,3,,,,,,,,,,,,,,,,,,,,
Zfp57,GMP,MEP,0.566847049,0,3,,,,,,,,,,,,,,,,,,,,
Mcrs1,GMP,MEP,0.559379833,0,3,,,,,,,,,,,,,,,,,,,,
Pcgf3,GMP,MEP,0.541662383,0,3,,,,,,,,,,,,,,,,,,,,
Nr1d1,GMP,MEP,0.536067515,0,3,,,,,,,,,,,,,,,,,,,,
Hltf,GMP,MEP,0.517119028,0,3,,,,,,,,,,,,,,,,,,,,
Mettl25,GMP,MEP,0.512234189,0,3,,,,,,,,,,,,,,,,,,,,
Phb,GMP,MEP,0.510673421,0,3,,,,,,,,,,,,,,,,,,,,
Mllt4,GMP,MEP,0.510297995,0,3,,,,,,,,,,,,,,,,,,,,
Maml1,GMP,MEP,0.506294078,0,3,,,,,,,,,,,,,,,,,,,,
Med24,GMP,MEP,0.504147323,0,3,,,,,,,,,,,,,,,,,,,,
Prdm11,GMP,MEP,0.503304376,0,3,,,,,,,,,,,,,,,,,,,,
Stk4,GMP,MEP,0.498853286,0,3,,,,,,,,,,,,,,,,,,,,
Phf13,GMP,MEP,0.494839595,0,3,,,,,,,,,,,,,,,,,,,,
Mettl6,GMP,MEP,0.493163993,0,3,,,,,,,,,,,,,,,,,,,,
Rcc1,GMP,MEP,0.485911218,0,3,,,,,,,,,,,,,,,,,,,,
Ctbp2,GMP,MEP,0.483710434,0,3,,,,,,,,,,,,,,,,,,,,
Chmp1a,GMP,MEP,0.466476428,0,3,,,,,,,,,,,,,,,,,,,,
Ncaph,GMP,MEP,0.454862629,0,3,,,,,,,,,,,,,,,,,,,,
Tgfbr1,GMP,MEP,0.449092664,0,3,,,,,,,,,,,,,,,,,,,,
Ncoa4,GMP,MEP,0.439647062,0,3,,,,,,,,,,,,,,,,,,,,
Tet3,GMP,MEP,0.42074821,0,3,,,,,,,,,,,,,,,,,,,,
Kdm4b,GMP,MEP,0.420343305,0,3,,,,,,,,,,,,,,,,,,,,
Kdm1b,GMP,MEP,0.416618416,0,3,,,,,,,,,,,,,,,,,,,,
Rbx1,GMP,MEP,0.415139703,0,3,,,,,,,,,,,,,,,,,,,,
Brd8,GMP,MEP,0.413474766,0,3,,,,,,,,,,,,,,,,,,,,
Hmbox1,GMP,MEP,0.411753694,0,3,,,,,,,,,,,,,,,,,,,,
Kansl3,GMP,MEP,0.408010611,0,3,,,,,,,,,,,,,,,,,,,,
Purb,GMP,MEP,0.402273222,0,3,,,,,,,,,,,,,,,,,,,,
Mycbp2,GMP,MEP,0.38462748,0,3,,,,,,,,,,,,,,,,,,,,
Pdcd2,GMP,MEP,0.359173145,0,3,,,,,,,,,,,,,,,,,,,,
Fam208a,GMP,MEP,0.358551736,0,3,,,,,,,,,,,,,,,,,,,,
Med22,GMP,MEP,0.357351592,0,3,,,,,,,,,,,,,,,,,,,,
Mettl14,GMP,MEP,0.357332482,0,3,,,,,,,,,,,,,,,,,,,,
Ddx47,GMP,MEP,0.352295909,0,3,,,,,,,,,,,,,,,,,,,,
Senp3,GMP,MEP,0.337510234,0,3,,,,,,,,,,,,,,,,,,,,
Nap1l4,GMP,MEP,0.336078613,0,3,,,,,,,,,,,,,,,,,,,,
Nab2,GMP,MEP,0.33530803,0,3,,,,,,,,,,,,,,,,,,,,
Ssrp1,GMP,MEP,0.33134087,0,3,,,,,,,,,,,,,,,,,,,,
Ddx50,GMP,MEP,0.330016122,0,3,,,,,,,,,,,,,,,,,,,,
Cstf1,GMP,MEP,0.325348939,0,3,,,,,,,,,,,,,,,,,,,,
Jade1,GMP,MEP,0.31916741,0,3,,,,,,,,,,,,,,,,,,,,
Ntmt1,GMP,MEP,0.315839964,0,3,,,,,,,,,,,,,,,,,,,,
Cbx1,GMP,MEP,0.312981421,0,3,,,,,,,,,,,,,,,,,,,,
Eya3,GMP,MEP,0.298264183,0,3,,,,,,,,,,,,,,,,,,,,
Mier3,GMP,MEP,0.298074748,0,3,,,,,,,,,,,,,,,,,,,,
Uty,GMP,MEP,0.297157623,0,3,,,,,,,,,,,,,,,,,,,,
Dek,GMP,MEP,0.296234507,0,3,,,,,,,,,,,,,,,,,,,,
Foxp2,GMP,MEP,0.285112623,0,3,,,,,,,,,,,,,,,,,,,,
Maml2,GMP,MEP,0.28490697,0,3,,,,,,,,,,,,,,,,,,,,
Pqbp1,GMP,MEP,0.269197325,0,3,,,,,,,,,,,,,,,,,,,,
Pura,GMP,MEP,0.267188658,0,3,,,,,,,,,,,,,,,,,,,,
Mettl21a,GMP,MEP,0.266407523,0,3,,,,,,,,,,,,,,,,,,,,
Jmjd8,GMP,MEP,0.26322047,0,3,,,,,,,,,,,,,,,,,,,,
Nab1,GMP,MEP,0.258668514,0,3,,,,,,,,,,,,,,,,,,,,
Med28,GMP,MEP,0.257381288,0,3,,,,,,,,,,,,,,,,,,,,
Hdac5,GMP,MEP,0.255146029,0,3,,,,,,,,,,,,,,,,,,,,
Phf7,GMP,MEP,0.254817668,0,3,,,,,,,,,,,,,,,,,,,,
Mettl18,GMP,MEP,0.253330549,0,3,,,,,,,,,,,,,,,,,,,,
Ncl,GMP,MEP,0.251181037,0,3,,,,,,,,,,,,,,,,,,,,
Tet1,GMP,MEP,0.242297432,0,3,,,,,,,,,,,,,,,,,,,,
Mgmt,GMP,MEP,0.235924075,0,3,,,,,,,,,,,,,,,,,,,,
Paxbp1,GMP,MEP,0.233088376,0,3,,,,,,,,,,,,,,,,,,,,
Med16,GMP,MEP,0.231960308,0,3,,,,,,,,,,,,,,,,,,,,
Atad2,GMP,MEP,0.227973529,0,3,,,,,,,,,,,,,,,,,,,,
Tle1,GMP,MEP,0.224372645,0,3,,,,,,,,,,,,,,,,,,,,
Mettl8,GMP,MEP,0.223491688,0,3,,,,,,,,,,,,,,,,,,,,
Jmjd6,GMP,MEP,0.215956115,0,3,,,,,,,,,,,,,,,,,,,,
Mdfi,GMP,MEP,0.214242474,0,3,,,,,,,,,,,,,,,,,,,,
Chd6,GMP,MEP,0.206865769,0,3,,,,,,,,,,,,,,,,,,,,
Med13l,GMP,MEP,0.20150674,0,3,,,,,,,,,,,,,,,,,,,,
Hmgn3,GMP,MEP,0.200148003,0,3,,,,,,,,,,,,,,,,,,,,
Dtx3l,GMP,MEP,0.198843454,0,3,,,,,,,,,,,,,,,,,,,,
Nap1l1,GMP,MEP,0.194261616,0,3,,,,,,,,,,,,,,,,,,,,
Ankra2,GMP,MEP,0.188783156,0,3,,,,,,,,,,,,,,,,,,,,
Rbl2,GMP,MEP,0.186619741,0,3,,,,,,,,,,,,,,,,,,,,
Ncapg,GMP,MEP,0.184897923,0,3,,,,,,,,,,,,,,,,,,,,
Myef2,GMP,MEP,0.184057037,0,3,,,,,,,,,,,,,,,,,,,,
Mdfic,GMP,MEP,0.179069227,0,3,,,,,,,,,,,,,,,,,,,,
Prmt3,GMP,MEP,0.178541016,0,3,,,,,,,,,,,,,,,,,,,,
Ptov1,GMP,MEP,0.173653392,0,3,,,,,,,,,,,,,,,,,,,,
Gadd45a,GMP,MEP,0.170511805,0,3,,,,,,,,,,,,,,,,,,,,
Kat2b,GMP,MEP,0.169065632,0,3,,,,,,,,,,,,,,,,,,,,
Pygo1,GMP,MEP,0.166104591,0,3,,,,,,,,,,,,,,,,,,,,
Sap30l,GMP,MEP,0.163406418,0,3,,,,,,,,,,,,,,,,,,,,
Ncoa3,GMP,MEP,0.156688446,0,3,,,,,,,,,,,,,,,,,,,,
Eif4a2,GMP,MEP,0.155578015,0,3,,,,,,,,,,,,,,,,,,,,
Mettl2,GMP,MEP,0.148589204,0,3,,,,,,,,,,,,,,,,,,,,
Esco1,GMP,MEP,0.146681058,0,3,,,,,,,,,,,,,,,,,,,,
Med17,GMP,MEP,0.138838372,0,3,,,,,,,,,,,,,,,,,,,,
Chd9,GMP,MEP,0.132656358,0,3,,,,,,,,,,,,,,,,,,,,
Hells,GMP,MEP,0.11703102,0,3,,,,,,,,,,,,,,,,,,,,
Pnrc1,GMP,MEP,0.111033873,0,3,,,,,,,,,,,,,,,,,,,,
Tada1,GMP,MEP,0.105466598,0,3,,,,,,,,,,,,,,,,,,,,
Top2b,GMP,MEP,0.095706497,0,3,,,,,,,,,,,,,,,,,,,,
Med20,GMP,MEP,0.088646224,0,3,,,,,,,,,,,,,,,,,,,,
Setx,GMP,MEP,0.086710652,0,3,,,,,,,,,,,,,,,,,,,,
Uhrf2,GMP,MEP,0.08226209,0,3,,,,,,,,,,,,,,,,,,,,
Gon4l,GMP,MEP,0.060835545,0,3,,,,,,,,,,,,,,,,,,,,
Med14,GMP,MEP,0.060311338,0,3,,,,,,,,,,,,,,,,,,,,
Pttg1,GMP,MEP,0.0591669,0,3,,,,,,,,,,,,,,,,,,,,
Per2,GMP,MEP,0.048060924,0,3,,,,,,,,,,,,,,,,,,,,
Per1,GMP,MEP,0.042288004,0,3,,,,,,,,,,,,,,,,,,,,
H2afy2,GMP,MEP,0.034568921,0,3,,,,,,,,,,,,,,,,,,,,
Phf14,GMP,MEP,0.020524072,0,3,,,,,,,,,,,,,,,,,,,,
Rb1,GMP,MEP,0.01509381,0,3,,,,,,,,,,,,,,,,,,,,
Cul4b,GMP,MEP,0.007890372,0,3,,,,,,,,,,,,,,,,,,,,
Hmgn2,GMP,MEP,0.007358056,0,3,,,,,,,,,,,,,,,,,,,,
Smarcd3,GMP,MEP,0.00325637,0,3,,,,,,,,,,,,,,,,,,,,
Sap25,GMP,MEP,0.001197068,0,3,,,,,,,,,,,,,,,,,,,,
Nmi,GMP,MEP,-0.015694831,0,3,,,,,,,,,,,,,,,,,,,,
Chuk,GMP,MEP,-0.016708576,0,3,,,,,,,,,,,,,,,,,,,,
Mbtps1,GMP,MEP,-0.020851247,0,3,,,,,,,,,,,,,,,,,,,,
Ywhae,GMP,MEP,-0.021299518,0,3,,,,,,,,,,,,,,,,,,,,
Ppargc1b,GMP,MEP,-0.025117119,0,3,,,,,,,,,,,,,,,,,,,,
Vrk1,GMP,MEP,-0.027260344,0,3,,,,,,,,,,,,,,,,,,,,
Cdc73,GMP,MEP,-0.029015695,0,3,,,,,,,,,,,,,,,,,,,,
Rnf20,GMP,MEP,-0.029434329,0,3,,,,,,,,,,,,,,,,,,,,
Ncoa1,GMP,MEP,-0.03095971,0,3,,,,,,,,,,,,,,,,,,,,
Ube2d1,GMP,MEP,-0.040382723,0,3,,,,,,,,,,,,,,,,,,,,
Atn1,GMP,MEP,-0.042358347,0,3,,,,,,,,,,,,,,,,,,,,
Prr14,GMP,MEP,-0.057220366,0,3,,,,,,,,,,,,,,,,,,,,
Mecp2,GMP,MEP,-0.058539789,0,3,,,,,,,,,,,,,,,,,,,,
Ercc6,GMP,MEP,-0.0707955,0,3,,,,,,,,,,,,,,,,,,,,
Gadd45g,GMP,MEP,-0.073177915,0,3,,,,,,,,,,,,,,,,,,,,
Setd3,GMP,MEP,-0.081037159,0,3,,,,,,,,,,,,,,,,,,,,
Mbip,GMP,MEP,-0.082020595,0,3,,,,,,,,,,,,,,,,,,,,
Mdc1,GMP,MEP,-0.086265377,0,3,,,,,,,,,,,,,,,,,,,,
Lrrfip2,GMP,MEP,-0.08935777,0,3,,,,,,,,,,,,,,,,,,,,
Pml,GMP,MEP,-0.089806764,0,3,,,,,,,,,,,,,,,,,,,,
Zbtb7c,GMP,MEP,-0.090553887,0,3,,,,,,,,,,,,,,,,,,,,
Dzip3,GMP,MEP,-0.092089762,0,3,,,,,,,,,,,,,,,,,,,,
Zfp217,GMP,MEP,-0.099989377,0,3,,,,,,,,,,,,,,,,,,,,
Actr5,GMP,MEP,-0.100153959,0,3,,,,,,,,,,,,,,,,,,,,
Jmjd4,GMP,MEP,-0.108668583,0,3,,,,,,,,,,,,,,,,,,,,
